,0,1,2,3,4,5
0,2019-08-10 00:38:41.393701,496,3,15,41.404839,2.17482
1,2019-08-10 00:38:41.393701,495,6,18,41.3767081,2.1483947
2,2019-08-10 00:38:41.393701,494,1,22,41.3896703,2.1654279
3,2019-08-10 00:38:41.393701,492,1,23,41.3944248,2.1751026
4,2019-08-10 00:38:41.393701,428,3,23,41.398389,2.196261
5,2019-08-10 00:38:41.393701,427,19,0,41.375336,2.168007
6,2019-08-10 00:38:41.393701,426,19,11,41.398305,2.183023
7,2019-08-10 00:38:41.393701,425,18,8,41.37652,2.1749
8,2019-08-10 00:38:41.393701,424,22,5,41.379632,2.192662
9,2019-08-10 00:38:41.393701,423,21,11,41.420201,2.189532
10,2019-08-10 00:38:41.393701,421,5,26,41.378031,2.139124
11,2019-08-10 00:38:41.393701,420,8,19,41.374213,2.148082
12,2019-08-10 00:38:41.393701,419,29,3,41.391299,2.180828
13,2019-08-10 00:38:41.393701,418,17,7,41.390943,2.180251
14,2019-08-10 00:38:41.393701,416,27,0,41.378134,2.16965
15,2019-08-10 00:38:41.393701,415,24,1,41.379374,2.168921
16,2019-08-10 00:38:41.393701,414,10,23,41.393744,2.176451
17,2019-08-10 00:38:41.393701,413,9,22,41.393512,2.170718
18,2019-08-10 00:38:41.393701,412,12,15,41.389012,2.172667
19,2019-08-10 00:38:41.393701,410,31,2,41.376433,2.17871
20,2019-08-10 00:38:41.393701,409,2,25,41.392272,2.192556
21,2019-08-10 00:38:41.393701,408,6,32,41.388988,2.192283
22,2019-08-10 00:38:41.393701,406,3,30,41.386512,2.164597
23,2019-08-10 00:38:41.393701,405,1,25,41.38551,2.152
24,2019-08-10 00:38:41.393701,404,19,13,41.365374,2.133087
25,2019-08-10 00:38:41.393701,402,25,1,41.380705,2.182415
26,2019-08-10 00:38:41.393701,401,22,0,41.381241,2.181838
27,2019-08-10 00:38:41.393701,400,0,28,41.36958,2.188017
28,2019-08-10 00:38:41.393701,398,14,10,41.381011,2.193502
29,2019-08-10 00:38:41.393701,397,0,26,41.388894,2.199334
30,2019-08-10 00:38:41.393701,396,21,10,41.389028,2.196844
31,2019-08-10 00:38:41.393701,395,15,18,41.386009,2.170212
32,2019-08-10 00:38:41.393701,394,23,2,41.387151,2.162838
33,2019-08-10 00:38:41.393701,393,0,32,41.402177,2.197653
34,2019-08-10 00:38:41.393701,392,7,12,41.390595,2.190681
35,2019-08-10 00:38:41.393701,391,15,9,41.422873,2.191204
36,2019-08-10 00:38:41.393701,390,22,1,41.386955,2.18195
37,2019-08-10 00:38:41.393701,389,9,18,41.38739,2.1875
38,2019-08-10 00:38:41.393701,388,25,1,41.380593,2.167418
39,2019-08-10 00:38:41.393701,387,20,4,41.395796,2.178784
40,2019-08-10 00:38:41.393701,386,22,2,41.375086,2.156848
41,2019-08-10 00:38:41.393701,385,14,15,41.387978,2.155266
42,2019-08-10 00:38:41.393701,384,7,19,41.380708,2.146793
43,2019-08-10 00:38:41.393701,382,11,16,41.403938,2.204188
44,2019-08-10 00:38:41.393701,381,14,17,41.381686,2.167816
45,2019-08-10 00:38:41.393701,380,22,1,41.385463,2.174252
46,2019-08-10 00:38:41.393701,378,17,0,41.378516,2.176716
47,2019-08-10 00:38:41.393701,377,20,7,41.37747,2.183737
48,2019-08-10 00:38:41.393701,376,1,25,41.371663,2.180302
49,2019-08-10 00:38:41.393701,375,0,27,41.372154,2.180701
